circuits,,,,,,
circuitId,url,circuitName,locality,country,latitude,longitude
albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411
bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
baku,http://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533
hungaroring,http://en.wikipedia.org/wiki/Hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
interlagos,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
jeddah,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044
losail,http://en.wikipedia.org/wiki/Losail_International_Circuit,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542
marina_bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864
miami,http://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami International Autodrome,Miami,USA,25.9581,-80.2389
monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
pedralbes,http://en.wikipedia.org/wiki/Pedralbes_Circuit,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667
red_bull_ring,http://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
rodriguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
shanghai,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai International Circuit,Shanghai,China,31.3389,121.22
silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173
villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
